,Unnamed: 0,Artist and Title,Streams
0,Of all time,The Weeknd - Blinding Lights,4874768411
1,From 2024,Billie Eilish - BIRDS OF A FEATHER,2660426463
2,From 2023,Miley Cyrus - Flowers,2558582410
3,From 2022,Harry Styles - As It Was,3911215611
4,From 2021,The Kid LAROI - STAY,3570870506
5,From 2020,Glass Animals - Heat Waves,3411269832
6,From 2019,The Weeknd - Blinding Lights,4874768411
7,From 2018,Lewis Capaldi - Someone You Loved,3930269217
8,From 2017,Ed Sheeran - Shape of You,4397036033
9,From 2016,The Weeknd - Starboy,3931538739
10,From 2015,Lord Huron - The Night We Met,3040070818
11,From 2014,Ed Sheeran - Photograph,2965223588
12,From 2013,Vance Joy - Riptide,3136332894
13,From 2012,The Neighbourhood - Sweater Weather,3822001892
14,From 2011,Macklemore - Can't Hold Us,2911379877
15,From 2010,Bruno Mars - Just the Way You Are,2776655080
16,From 2005-2009,Coldplay - Viva La Vida,2794807187
17,From 2000-2004,Coldplay - Yellow,3066235093
18,From the 90s,Nirvana - Smells Like Teen Spirit,2439241359
19,From the 80s,The Police - Every Breath You Take,2699956491
20,From the 70s,Queen - Bohemian Rhapsody,2818205335
21,From the 60s,Creedence Clearwater Revival - Fortunate Son,1684497447
22,From before the 60s,Brenda Lee - Rockin' Around The Christmas Tree,1291832294
